"","idx","byname","address","lon","lat","spgrp","type"
"1",1,"(405) Brewing Co","1716 Topeka Dr, Norman, OK 73069-8224",-97.469406,35.256786,"0","Taproom"
"2",2,"(512) Brewing Co","407 Radam Ln Ste F200, Austin, TX 78745-1197",-97.76981,30.223736,"1","Micro"
"3",3,"10 Torr Distilling and Brewing","490 Mill St, Reno, NV 89502",-119.805695,39.52578,"9","Micro"
"4",4,"10-56 Brewing Company","2120 US-35, Knox, IN 46534",-86.6206282,41.273593,"2","Taproom"
"5",5,"101 Brewery","294793 US Highway 101, Quilcene, WA 98376-9000",-122.87587,47.82227,"3","Brewpub"
"6",6,"1035 Brewing","1035 S Central Ave, Sidney, MT 59270",-104.1643577,47.7070485,"0","Taproom"
"7",7,"105 West Brewing Co","1043 Park St, Castle Rock, CO 80109-1585",-104.86662,39.382782,"4","Micro"
"8",8,"10K Brewing","2005 2nd Ave, Anoka, MN 55303-2243",-93.38942,45.198055,"5","Taproom"
"9",9,"10th District Brewing Company","491 Washington St, Abington, MA 02351-2419",-70.94604,42.105957,"6","Taproom"
"10",10,"11 Below Brewing Company","6820 Bourgeois Rd, Houston, TX 77066-3107",-95.51244,29.954657,"0","Micro"
"11",11,"1188 Brewing Co","141 E Main St, John Day, OR 97845-1210",-119.10291,44.713734,"0","Brewpub"
"12",12,"12 Bones Brewing","2350 Hendersonville Rd, Arden, NC 28704",-82.51641,35.465824,"7","Taproom"
"13",13,"12 Fox Beer Co","4700 W Fitzhugh Rd, Dripping Springs, TX 78620",-98.14325,30.25621,"1","Taproom"
"14",14,"12 Gates Brewing Company","80 Earhart Dr Ste 20, Williamsville, NY 14221-7804",-78.71469,42.95487,"6","Taproom"
"15",15,"12 West Brewing Company","3000 E Ray Rd Bldg 6, Gilbert, AZ 85296-7832",-111.78362,33.32101,"0","Proprietor"
"16",16,"12 West Brewing Company - Production Facility","7733 E McDowell Rd, Mesa, AZ 85207",-111.66345,33.46621,"0","Micro"
"17",17,"127 Brewing","3090 Shirley Dr, Jackson, MI 49201-7010",-84.43092,42.285873,"2","Taproom"
"18",18,"12Degree Brewing","820 Main St, Louisville, CO 80027-1865",-105.13213,39.97802,"4","Brewpub"
"19",19,"13 Below Brewery","7391 Forbes Rd, Cincinnati, OH 45233-1013",-84.70631,39.126488,"2","Taproom"
"20",20,"13 Point Brewing","8035 Broadway, Lemon Grove, CA 91945",-117.02502,32.743088,"8","Taproom"
"21",21,"13 Stripes Brewery","250 Mill St, Suite PW3101, Taylors, SC 29687",-82.28643,34.920048,"7","Taproom"
"22",22,"13th Child Brewery","345 S Main St, Williamstown, NJ 08094",-74.991787,39.683422,"6","Taproom"
"23",23,"14 Cannons Brewing Company","31125 Via Colinas Ste 907, Westlake Village, CA 91362-3974",-118.802397,34.15334,"8","Taproom"
"24",24,"14 Lakes Brewery","36846 County Hwy 66, Crosslake, MN 56442",-94.112725,46.687105,"5","Taproom"
"25",25,"1487 Brewery","7620 Industrial Parkway, Plain City, OH 43064",-83.194595,40.124035,"2","Micro"
"26",26,"14er Brewing Company","3120 Blake St, Denver, CO 80205",-104.98073,39.76481,"4","Micro"
"27",27,"14th Star Brewing Co.","133 N Main St Ste 7, Saint Albans, VT 05478-1735",-73.082451,44.8143654,"6","Micro"
"28",28,"15-24 Brew House","420 Lincoln Ave., Clay Center, KS 67432",-97.127846,39.376274,"0","Brewpub"
"29",29,"16 Lots Brewing","753 Reading Rd, Mason, OH 45040-1303",-84.32678,39.348244,"2","Taproom"
"30",30,"16 Stone Brewpub","9542 Main St, Holland Patent, NY 13354",-75.25505,43.242767,"6","Brewpub"
"31",31,"1623 Brewing CO, llc","5975 Exchange Dr,, Eldersburg, MD 21784",-76.9782006,39.4165034,"6","Taproom"
"32",32,"1717 Brewing Co","322 E Court Ave, Des Moines, IA 50309",-93.62076,41.585228,"0","Taproom"
"33",33,"1718 Ocracoke Brewing","1129 Irvin Garrish Hwy, Ocracoke, NC 27960",-75.97187,35.107105,"0","Brewpub"
"34",34,"1766 Brewing Company","7 Route 25, Plymouth, NH 03264-3141",-71.7067513554273,43.7527192158442,"6","Micro"
"35",35,"1774 Brewing","2609 N Moore Ave, Moore, OK 73160",-97.49773,35.36113,"0","Micro"
"36",36,"1781 Brewing Company","11109 Plank Rd, Spotsylvania, VA 22553-4258",-77.718414,38.324352,"6","Taproom"
"37",37,"1787 Brewing Company","43 S Fourth St, Hamburg, PA 19526",-75.981964,40.554173,"6","Brewpub"
"38",38,"180 and Tapped","2010 A State Ave, Coraopolis, PA 15108",-80.1501,40.50984,"2","Micro"
"39",39,"1803 Brewery and Taproom","123 Harding Way East, Galion, OH 44833-1902",-82.789024,40.7339,"2","Taproom"
"40",40,"1812 Brewery","13006 Mason Road, Cumberland, MD 21502",-78.69946,39.703526,"2","Taproom"
"41",41,"1817 Brewery","100 B South Olive St, okolona, MS 38860",-88.75003,34.00367,"0","Micro"
"42",42,"1840 Brewing Company","342 E Ward St, Milwaukee, WI 53207-1348",-87.90601,43.0043,"2","Taproom"
"43",43,"1849 Brewing Company","468 Sutton Way, Grass Valley, CA 95945",-121.0344062,39.229628,"9","Brewpub"
"44",44,"1850 Brewing Company","5176 G Highway 49N, Mariposa, CA 95338",-119.972907,37.493128,"9","Micro"
"45",45,"18th Street Brewery","5725 Miller Ave, Gary, IN 46403-2871",-87.26886,41.599365,"2","Micro"
"46",46,"18th Street Brewery","5417 Oakley Ave, Hammond, IN 46320-1817",-87.517525,41.6156,"2","Micro"
"47",47,"18th Ward Brewing Co.","300 Richardson Street, Brooklyn, NY 11222",-73.9395,40.71972,"6","Brewpub"
"48",48,"1905 Brewing Company","121 North Chestnut, Assumption, IL 62510",-89.04972,39.51939,"0","Taproom"
"49",49,"1912 Brewing","2045 N Forbes Blvd Ste 105, Tucson, AZ 85745-1444",-110.992459396978,32.2466067479167,"0","Taproom"
"50",50,"192 Brewing","7324 NE 175th St, Kenmore, WA 98028-2500",-122.24301,47.75646,"3","Taproom"
"51",51,"1940's Brewing Company","1337 Lincoln Ave Unit 1, Holbrook, NY 11741-2275",-73.0843,40.78344,"6","Taproom"
